experiment_id,timestamp,image,condition,cer,wer,model,inference_mode,notes
EXP-001,2026-09-17T12:30:00+05:30,sample_modi_page.png,original,N/A,N/A,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,First real inference (73.6s incl. Colab cold-start). 79 chars out / 50 Devanagari. No ground truth so no CER/WER. Full text in experiments/results/EXP-001_transcription.json
EXP-002a,2026-09-17T13:00:00+05:30,MT-001 (MoDeTrans 1.jpg),original,0.171,0.381,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,21.4s warm; hyp 109 chars vs ref 111
EXP-002b,2026-09-17T13:00:00+05:30,MT-002 (MoDeTrans 10.jpg),original,0.099,0.286,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,18.8s warm; near-perfect, minor sub/insertions
EXP-002c,2026-09-17T13:00:00+05:30,MT-003 (MoDeTrans 1000.jpg),original,0.567,0.955,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,25.0s warm; fluent but wrong-content hallucination
EXP-003a,2026-09-17T13:30:00+05:30,MT-002 (MoDeTrans 10.jpg),enhanced,0.121,0.286,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,restore 0.18s + transcribe 18.5s; slightly worse than original 0.099
EXP-003b,2026-09-17T13:30:00+05:30,MT-002 (MoDeTrans 10.jpg),binarized,0.176,0.286,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,restore 0.21s + transcribe 18.6s; worse than original 0.099
EXP-004a,2026-09-17T14:00:00+05:30,MT-004,original,0.137,0.4,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,149.9s warm; S17/D4/I5
EXP-004b,2026-09-17T14:00:00+05:30,MT-005,original,0.479,0.9,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,25.9s warm; S37/D3/I17
EXP-004c,2026-09-17T14:00:00+05:30,MT-006,original,0.239,0.55,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,26.2s warm; S19/D2/I6
EXP-004d,2026-09-17T14:00:00+05:30,MT-007,original,0.493,0.846,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,15.0s warm; S25/D2/I9
EXP-004e,2026-09-17T14:00:00+05:30,MT-008,original,0.539,0.926,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,24.8s warm; S50/D9/I17
EXP-004f,2026-09-17T14:00:00+05:30,MT-009,original,0.429,0.769,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,39.2s warm; S45/D5/I13
EXP-004g,2026-09-17T14:00:00+05:30,MT-010,original,0.359,0.762,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,29.6s warm; S41/D4/I6
EXP-004h,2026-09-17T14:00:00+05:30,MT-011,original,0.55,0.913,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,28.0s warm; S45/D9/I18
EXP-004i,2026-09-17T14:00:00+05:30,MT-012,original,0.28,0.867,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,22.9s warm; S14/D9/I3
EXP-004j,2026-09-17T14:00:00+05:30,MT-013,original,0.293,0.741,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,54.0s warm; S26/D17/I6
EXP-004k,2026-09-17T14:00:00+05:30,MT-014,original,0.131,0.409,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,30.7s warm; S7/D9/I4
EXP-004l,2026-09-17T14:00:00+05:30,MT-015,original,0.129,0.393,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,53.0s warm; S20/D2/I1
EXP-004m,2026-09-17T14:00:00+05:30,MT-016,original,0.255,0.667,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,42.6s warm; S30/D4/I16
EXP-004n,2026-09-17T14:00:00+05:30,MT-017,original,0.327,0.867,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,25.9s warm; S15/D5/I14
EXP-004o,2026-09-17T14:00:00+05:30,MT-018,original,0.361,0.793,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,55.3s warm; S42/D8/I15
EXP-004p,2026-09-17T14:00:00+05:30,MT-019,original,0.236,0.65,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,45.8s warm; S25/D11/I12
EXP-004q,2026-09-17T14:00:00+05:30,MT-020,original,0.256,0.692,Qwen2.5-VL-3B + lgtk/qwen25vl-3b-modi-synth-lora,colab,45.8s warm; S34/D5/I12
